,id,title,bullets,tags,price,area,rooms,page,state
0,selObject_43785015,Wohnen in Chemnitz- Borna,"['Erdgeschosswohnung', '•', 'Chemnitz', 'Borna-Heinersdorf']",[],Miete zzgl. NK 185 €,Wohnfläche ca. 38 m²,Zi. 1,347,14
1,selObject_43784820,"2 Mo. kaltmietfrei! Große DG 2-Zi. mit Lam., EBK und...","['Dachgeschosswohnung', '•', 'Chemnitz', 'Sonnenberg']",['EBK'],Miete zzgl. NK 310 €,Wohnfläche ca. 65 m²,Zi. 2,347,14
2,selObject_43784707,Geräumige 2-Zimmer Wohnung mit Tageslichtbad in ruhige...,"['Etagenwohnung', '•', 'Chemnitz', 'Hilbersdorf']",[],Miete zzgl. NK 250 €,Wohnfläche ca. 52 m²,Zi. 2,347,14
3,selObject_43784648,"helle Wohnung mit Tageslichtbad, wenige Schritte in...","['Wohnung', '•', 'Mügeln', 'Mügeln']",[],Miete zzgl. NK 230 €,Wohnfläche ca. 45 m²,Zi. 2,347,14
4,selObject_43784609,Traumhafte vollmöblierte 2-Raum-Dachgeschoß-Maisonette...,"['Dachgeschosswohnung', '•', 'Borna', 'Neukirchen']",['EBK'],Miete zzgl. NK 336 €,Wohnfläche ca. 48 m²,Zi. 2,347,14
5,selObject_43784290,Großzügige 2-Raum Wohnung,"['Wohnung', '•', 'Chemnitz', 'Schloßchemnitz']",[],Miete zzgl. NK 283 €,Wohnfläche ca. 57 m²,Zi. 2,347,14
6,selObject_43783403,"Helle, großzügige 3,5-Raum-Wohnung am Stadtrand von...","['Etagenwohnung', '•', 'Zschopau']",['Garten'],Miete zzgl. NK 410 €,Wohnfläche ca. 88 m²,"Zi. 3,5",347,14
7,selObject_43782938,*** Günstige und große 3-Zimmer mit Wannenbad in guter...,"['Erdgeschosswohnung', '•', 'Chemnitz', 'Schloßchemnitz']",[],"Miete zzgl. NK 381,50 €",Wohnfläche ca. 78 m²,Zi. 2,347,14
8,selObject_43782855,* Gemütliche 1-Zimmer mit Wannenbad in zentraler Lage!...,"['Erdgeschosswohnung', '•', 'Chemnitz', 'Sonnenberg']",[],Miete zzgl. NK 165 €,Wohnfläche ca. 33 m²,Zi. 1,347,14
9,selObject_43782748,"Geräumige 1-Zi-Wohnung mit Einbauküche, Laminatboden...","['Etagenwohnung', '•', 'Dresden', 'Weißig']","['Balkon', 'EBK']",Miete zzgl. NK 300 €,Wohnfläche ca. 40 m²,Zi. 1,347,14
10,selObject_43782739,"*** Günstige und kleine 2,5-Zimmer mit Laminat und...","['Erdgeschosswohnung', '•', 'Chemnitz', 'Zentrum']",['EBK'],Miete zzgl. NK 315 €,Wohnfläche ca. 63 m²,Zi. 3,347,14
11,selObject_43782661,*** Günstige 2-Zimmer mit Laminat und Duschenbad in...,"['Etagenwohnung', '•', 'Chemnitz', 'Zentrum']",['EBK'],Miete zzgl. NK 309 €,Wohnfläche ca. 62 m²,Zi. 2,347,14
12,selObject_43782594,*** Günstige 2-Zimmer mit Laminat und Duschenbad in...,"['Etagenwohnung', '•', 'Chemnitz', 'Zentrum']",['EBK'],Miete zzgl. NK 280 €,Wohnfläche ca. 61 m²,Zi. 2,347,14
13,selObject_43782590,***Günstige 1-Zimmer mit Laminat in uninaher Lage!!!**...,"['Etagenwohnung', '•', 'Chemnitz', 'Zentrum']",[],"Miete zzgl. NK 153,50 €",Wohnfläche ca. 33 m²,Zi. 1,347,14
14,selObject_43782566,***Günstige 1-Zimmer mit Laminat in uninaher Lage!!!**...,"['Etagenwohnung', '•', 'Chemnitz', 'Zentrum']",[],Miete zzgl. NK 172 €,Wohnfläche ca. 38 m²,Zi. 1,347,14
15,selObject_43782451,*** Günstige 2-Zimmer mit Laminat und Duschenbad in...,"['Etagenwohnung', '•', 'Chemnitz', 'Zentrum']",['EBK'],Miete zzgl. NK 260 €,Wohnfläche ca. 57 m²,Zi. 2,347,14
16,selObject_43782221,"Erstbezug nach Sanierung! Balkon, Einbauküche, moderne...","['Etagenwohnung', '•', 'Leipzig', 'Kleinzschocher']","['Balkon', 'EBK']",Miete zzgl. NK 615 €,Wohnfläche ca. 67 m²,Zi. 2,347,14
17,selObject_43781956,*** Günstige 2-Zimmer Laminat und Balkon!!! ***,"['Etagenwohnung', '•', 'Limbach-Oberfrohna', 'Limbach-Oberfrohna']",['Balkon'],Miete zzgl. NK 235 €,Wohnfläche ca. 48 m²,Zi. 2,347,14
18,selObject_43781344,*** Günstige 3-Zimmer Laminat und Balkon!!! ***,"['Etagenwohnung', '•', 'Limbach-Oberfrohna', 'Limbach-Oberfrohna']",['Balkon'],Miete zzgl. NK 300 €,Wohnfläche ca. 64 m²,Zi. 3,347,14
19,selObject_43780130,Gefragte Wohngegend - Neu sanierte 5 Zimmer Dachgescho...,"['Dachgeschosswohnung', '•', 'Mittweida', 'Mittweida']",['Garten'],Miete zzgl. NK 650 €,Wohnfläche ca. 94 m²,Zi. 5,347,14
20,selObject_43779859,Renovierte 2 Raum Wohnung in der Görlitzer Innenstadt!,"['Etagenwohnung', '•', 'Görlitz', 'Altstadt']",[],Miete zzgl. NK 240 €,Wohnfläche ca. 47 m²,Zi. 2,347,14
21,selObject_43778746,Renovierte 2-Raum Wohnung in ruhiger Lage,"['Wohnung', '•', 'Glauchau', 'Glauchau']","['Balkon', 'Garten']",Miete zzgl. NK 340 €,Wohnfläche ca. 58 m²,Zi. 2,347,14
22,selObject_43775112,Ruhig gelegene 2-Zimmer-Wohnung mit Laminat!,"['Wohnung', '•', 'Großharthau']",['Garten'],Miete zzgl. NK 250 €,Wohnfläche ca. 51 m²,Zi. 2,347,14
23,selObject_43775091,Modernisierte 3-Raum-Wohnung mit Balkon,"['Erdgeschosswohnung', '•', 'Chemnitz', 'Zentrum']",['Balkon'],Miete zzgl. NK 324 €,Wohnfläche ca. 61 m²,Zi. 3,347,14
24,selObject_43772610,*Wohnen über den Dächern des Waldstraßenvietels*2-Zimm...,"['Dachgeschosswohnung', '•', 'Leipzig', 'Zentrum-Nordwest']","['Garten', 'EBK']",Miete zzgl. NK 565 €,Wohnfläche ca. 64 m²,Zi. 2,347,14
25,selObject_43772608,*Citynahe 2-Zimmerwohnung mit hochwertiger EBK und...,"['Etagenwohnung', '•', 'Leipzig', 'Zentrum-Süd']",['EBK'],Miete zzgl. NK 675 €,Wohnfläche ca. 80 m²,Zi. 2,347,14
26,selObject_43772388,60 qm Laminat 2-Zimmer Essküche Sonnenbalkon Lift...,"['Wohnung', '•', 'Chemnitz', 'Hilbersdorf']","['Balkon', 'Garten']",Miete zzgl. NK 299 €,Wohnfläche ca. 62 m²,Zi. 2,347,14
