,id,title,bullets,tags,price,area,rooms,page,state
0,selObject_39242162,4-Raumwohnung / Therapieräume mit Einbauküche - WG...,"['Etagenwohnung', '•', 'Chemnitz', 'Schloßchemnitz']","['Garten', 'EBK']",Miete zzgl. NK 330 €,Wohnfläche ca. 75 m²,Zi. 4,445,14
1,selObject_39241298,Ein feines Zuhause frisch renoviert!,"['Wohnung', '•', 'Frankenberg', 'Frankenberg']",[],"Miete zzgl. NK 203,99 €",Wohnfläche ca. 47 m²,Zi. 2,445,14
2,selObject_39240257,Dachgeschoss 2-Raum in zentraler Stadtrandlage,"['Dachgeschosswohnung', '•', 'Chemnitz', 'Borna-Heinersdorf']",[],Miete zzgl. NK 355 €,Wohnfläche ca. 61 m²,Zi. 2,445,14
3,selObject_39238232,"AUFZUG, BARRIEREFREI, NEUER VINYL-BODENBELAG","['Wohnung', '•', 'Zwickau', 'Marienthal']",[],Miete zzgl. NK 366 €,Wohnfläche ca. 75 m²,Zi. 2,445,14
4,selObject_39225784,Attraktive Zweiraumwohnung mit Balkon und Lift,"['Etagenwohnung', '•', 'Chemnitz', 'Kapellenberg']","['Balkon', 'Garten']",Miete zzgl. NK 393 €,Wohnfläche ca. 71 m²,Zi. 2,445,14
5,selObject_39225580,1- Raumwohnung in guter Lage - möblierte / teilmöblie...,"['Apartment', '•', 'Freiberg,', 'Sachs', 'Freiberg']",['EBK'],Miete zzgl. NK 299 €,Wohnfläche ca. 36 m²,Zi. 1,445,14
6,selObject_39202121,"3,5 RW im Dachgeschoss mitten im Stadtzentrum von Görl...","['Dachgeschosswohnung', '•', 'Görlitz', 'Altstadt']",['EBK'],Miete zzgl. NK 380 €,Wohnfläche ca. 102 m²,Zi. 4,445,14
7,selObject_39179897,"Neu sanierte 3 Raum-Wohnung mit Fußbodenheizung, Erstb...","['Etagenwohnung', '•', 'Chemnitz', 'Kaßberg']",['Balkon'],Miete zzgl. NK 490 €,Wohnfläche ca. 90 m²,Zi. 3,445,14
8,selObject_39177553,92 m² - 4 Zimmerwohnung,"['Erdgeschosswohnung', '•', 'Lichtenstein', 'Lichtenstein']",['Garten'],Miete zzgl. NK 420 €,Wohnfläche ca. 92 m²,Zi. 4,445,14
9,selObject_39169565,Sonderaktion*! 3-R.-WE m. Balkon in Weißwasser!,"['Etagenwohnung', '•', 'Weißwasser']",['Balkon'],Miete zzgl. NK 378 €,Wohnfläche ca. 78 m²,Zi. 3,445,14
10,selObject_39145670,Umzugsgutschein*! 4-R.-WE m. Balkon in Löbau!,"['Etagenwohnung', '•', 'Löbau', 'Löbau']",['Balkon'],Miete zzgl. NK 355 €,Wohnfläche ca. 70 m²,Zi. 4,445,14
11,selObject_39141812,Sonderaktion*! 3-R.-WE m. Balkon in Weißwasser!,"['Etagenwohnung', '•', 'Weißwasser']",['Balkon'],Miete zzgl. NK 292 €,Wohnfläche ca. 58 m²,Zi. 3,445,14
12,selObject_39140416,Zwei Kaltmieten frei*! 4-R.-WE m. Balkon in Zittau!,"['Etagenwohnung', '•', 'Zittau', 'Zittau']",['Balkon'],Miete zzgl. NK 364 €,Wohnfläche ca. 70 m²,Zi. 4,445,14
13,selObject_39134541,1-Raumwohnung mit Service*,"['Etagenwohnung', '•', 'Leipzig', 'Connewitz']",[],"Miete zzgl. NK 179,59 €",Wohnfläche ca. 32 m²,Zi. 1,445,14
