,id,title,bullets,tags,price,area,rooms
0,selObject_44577300,Westend - top sanierte 3-Zi.-Altbau-Wohnung - aparter...,"['Etagenwohnung', '•', 'München', 'Schwanthalerhöhe']",['EBK'],Miete zzgl. NK 1.995 €,Wohnfläche ca. 92 m²,Zi. 3
1,selObject_44898886,Westend - Altbau - top sanierte 3 ZW mit schicker Einb...,"['Etagenwohnung', '•', 'München', 'Schwanthalerhöhe']",['EBK'],Miete zzgl. NK 1.995 €,Wohnfläche ca. 92 m²,Zi. 3
2,selObject_44084415,"Möbl. 4 Zimmer WG Wohnung, 2 EZ, 2 DZ, Küche, Duschba...","['Wohnung', '•', 'München', 'Bogenhausen']","['Balkon', 'EBK']",Miete zzgl. NK 1.995 €,Wohnfläche ca. 70 m²,Zi. 4
3,selObject_44961298,Erstbezug in Harlaching: 3-Zimmer-DG-Wohnung mit Tages...,"['Wohnung', '•', 'München', 'Untergiesing-Harlaching']",['Balkon'],Miete zzgl. NK 2.000 €,Wohnfläche ca. 91 m²,Zi. 3
4,selObject_44901670,Möbliert: Top Lage zwischen LMU und Englischem Garten,"['Wohnung', '•', 'München']",[],Miete zzgl. NK 2.000 €,Wohnfläche ca. 90 m²,Zi. 3
5,selObject_44219196,"Erstbezug: Attraktive 2,5-Zimmer-Dachgeschoss-Wohnung","['Dachgeschosswohnung', '•', 'München', 'Pasing-Obermenzing']",['EBK'],Miete zzgl. NK 2.000 €,Wohnfläche ca. 94 m²,"Zi. 2,5"
6,selObject_44943106,Möbliert: Sehr schöne möblierte Wohnung in Schwabing,"['Wohnung', '•', 'München', 'Schwabing-Freimann']",['Balkon'],Miete zzgl. NK 2.000 €,Wohnfläche ca. 75 m²,Zi. 3
7,selObject_44763873,Top ausgestattete 3-Zimmer-Wohnung mit Südwest-Balkon,"['Etagenwohnung', '•', 'München', 'Neuhausen-Nymphenburg']","['Balkon', 'EBK']",Miete zzgl. NK 2.000 €,Wohnfläche ca. 84 m²,Zi. 3
8,selObject_44556409,Möbliert: FRIENDS-Tower | Luxuriöse Galeriewohnung |...,"['Wohnung', '•', 'München', 'Neuhausen-Nymphenburg']",[],Miete zzgl. NK 2.000 €,Wohnfläche ca. 77 m²,"Zi. 2,5"
9,selObject_44963663,Möbliert: Ruhig und grün am Englischen Garten,"['Wohnung', '•', 'München', 'Schwabing-Freimann']",['Balkon'],Miete zzgl. NK 2.000 €,Wohnfläche ca. 95 m²,Zi. 3
10,selObject_44376985,6 Traumhafte Neubau-Stadthäuser/Wohnungen in toller...,"['Etagenwohnung', '•', 'München', 'Pasing-Obermenzing']",[],Miete zzgl. NK 2.000 €,Wohnfläche ca. 118 m²,Zi. 4
11,selObject_44925641,Lichtvoll wohnen in bester Umgebung,"['Maisonette', '•', 'München', 'Bogenhausen']",['EBK'],Miete zzgl. NK 2.010 €,Wohnfläche ca. 127 m²,Zi. 4
12,selObject_44640735,"Altes Sendling am Valleypark - Neubau - 3 Zi Whg, 2x...","['Etagenwohnung', '•', 'München', 'Sendling']",['Balkon'],Miete zzgl. NK 2.020 €,Wohnfläche ca. 89 m²,Zi. 3
13,selObject_44006402,Und von der Dachterrasse der Alpenblick - 3-Zimmer-Woh...,"['Penthouse', '•', 'München', 'Berg', 'am', 'Laim']","['Balkon', 'EBK']",Miete zzgl. NK 2.050 €,Wohnfläche ca. 96 m²,Zi. 3
14,selObject_44239142,Über den Dächern des Westends | Neubau 3-Zimmer Wohnu...,"['Etagenwohnung', '•', 'München', 'Sendling-Westpark']","['Balkon', 'EBK']",Miete zzgl. NK 2.065 €,Wohnfläche ca. 86 m²,Zi. 3
15,selObject_45002052,NEU Möbliert: Gärtnerplatzviertel - Altbauwohnung mit 3...,"['Wohnung', '•', 'München', 'Ludwigsvorstadt-Isarvorstadt']","['NEU', 'NEU']",Miete zzgl. NK 2.080 €,Wohnfläche ca. 100 m²,Zi. 4
16,selObject_45019806,NEU Möbliert: Elegante Wohnung mit Schlafzimmer und Gästez...,"['Wohnung', '•', 'München', 'Maxvorstadt']","['NEU', 'NEU', 'Balkon']",Miete zzgl. NK 2.080 €,Wohnfläche ca. 80 m²,Zi. 3
17,selObject_44902972,Erstbezug: attraktive 3-Zimmer-Wohnung mit Einbauküch...,"['Wohnung', '•', 'München', 'Thalk.Obersendl.-Forsten-Fürstenr.-Solln']","['Balkon', 'Garten', 'EBK']",Miete zzgl. NK 2.090 €,Wohnfläche ca. 100 m²,Zi. 3
18,selObject_45017267,NEU EXKLUSIVES WOHNEN IM GRÜNEN - READY TO LIVE,"['Etagenwohnung', '•', 'München', 'Thalk.Obersendl.-Forsten-Fürstenr.-Solln']","['NEU', 'NEU', 'Balkon']",Miete zzgl. NK 2.094 €,Wohnfläche ca. 85 m²,Zi. 3
19,selObject_44687090,Ankommen-Wohlfühlen. Exklusiv komplett ausgestattete...,"['Wohnung', '•', 'München']",['EBK'],Miete zzgl. NK 2.100 €,Wohnfläche ca. 52 m²,Zi. 1
20,selObject_44044404,"Erstbezug: 2,5-Zimmer-Dachgeschoss-Wohnung mit Balkon","['Dachgeschosswohnung', '•', 'München', 'Pasing-Obermenzing']","['Balkon', 'EBK']",Miete zzgl. NK 2.100 €,Wohnfläche ca. 88 m²,"Zi. 2,5"
21,selObject_44633908,Das LOFT-Juwel! 2-Zimmer- Altbau-Wohnung am schönen...,"['Dachgeschosswohnung', '•', 'München', 'Altstadt-Lehel']",['EBK'],Miete zzgl. NK 2.100 €,Wohnfläche ca. 100 m²,Zi. 2
22,selObject_44203667,Möbliert: Lichtdurchflutete Dachterrassenwohnung,"['Wohnung', '•', 'München', 'Bogenhausen']",[],Miete zzgl. NK 2.120 €,Wohnfläche ca. 75 m²,Zi. 3
23,selObject_44814155,Möbliert: Ruhige 3-Zimmer Wohnung im Glockenbachvierte...,"['Wohnung', '•', 'München', 'Ludwigsvorstadt-Isarvorstadt']","['Balkon', 'Garten']",Miete zzgl. NK 2.120 €,Wohnfläche ca. 80 m²,Zi. 3
24,selObject_44745590,Möbliert: Moderne helle und möblierte Wohnung,"['Wohnung', '•', 'München', 'Schwabing-West']",['Balkon'],Miete zzgl. NK 2.120 €,Wohnfläche ca. 89 m²,Zi. 3
25,selObject_44921051,Möbliert: Großzügige Wohnung mit Terrasse und Winterga...,"['Wohnung', '•', 'München', 'Milbertshofen-Am', 'Hart']",['Balkon'],Miete zzgl. NK 2.120 €,Wohnfläche ca. 120 m²,Zi. 3
26,selObject_44848999,Top 3 Zi. Whg. mit 15 m² DT - abs. Bestlage in Nymphen...,"['Dachgeschosswohnung', '•', 'München', 'Neuhausen-Nymphenburg']",['EBK'],Miete zzgl. NK 2.150 €,Wohnfläche ca. 95 m²,Zi. 3
