,price,area,rooms,ebk,garten,balkon,inkl_NK,category,GEN
83,610.0,41.0,2.0,False,False,False,False,Etagenwohnung,Nordfriesland
84,700.0,70.0,2.0,True,False,True,False,Etagenwohnung,Stormarn
85,803.0,76.0,4.0,True,False,True,False,Wohnung,Herzogtum Lauenburg
86,530.0,59.0,2.5,True,False,True,False,Etagenwohnung,Herzogtum Lauenburg
87,1300.0,120.0,4.5,True,False,True,False,Etagenwohnung,Stormarn
88,780.0,82.0,2.0,True,False,False,False,Dachgeschosswohnung,Rendsburg-Eckernförde
89,463.0,41.0,1.0,False,False,True,False,Etagenwohnung,Stormarn
90,675.0,69.0,3.0,True,False,True,False,Etagenwohnung,Pinneberg
91,925.0,104.0,3.0,True,False,True,False,Maisonette,Pinneberg
92,515.0,45.0,2.5,True,False,False,False,Etagenwohnung,Pinneberg
93,840.0,82.0,3.0,True,False,True,False,Dachgeschosswohnung,Stormarn
94,665.0,58.0,2.0,True,False,False,False,Dachgeschosswohnung,Stormarn
95,490.0,59.0,3.0,False,False,True,False,Etagenwohnung,Herzogtum Lauenburg
96,599.0,77.0,3.0,False,False,True,False,Etagenwohnung,Herzogtum Lauenburg
97,552.0,78.0,3.0,False,False,True,False,Etagenwohnung,Kiel
98,475.0,57.0,3.0,False,False,False,False,Etagenwohnung,Lübeck
99,819.0,82.0,4.0,False,False,True,False,Etagenwohnung,Herzogtum Lauenburg
100,645.0,72.0,3.0,False,False,True,False,Etagenwohnung,Lübeck
101,485.0,64.0,3.0,False,False,True,False,Etagenwohnung,Herzogtum Lauenburg
102,540.0,60.0,2.5,False,False,False,False,Etagenwohnung,Lübeck
103,499.0,59.0,2.5,False,False,True,False,Etagenwohnung,Lübeck
104,476.0,70.0,3.0,False,False,True,False,Etagenwohnung,Kiel
105,309.0,32.0,1.0,False,False,False,False,Wohnung,Rendsburg-Eckernförde
106,439.0,60.0,2.0,True,False,True,False,Erdgeschosswohnung,Schleswig-Flensburg
107,1300.0,122.0,3.0,True,True,True,False,Maisonette,Plön
108,740.0,72.0,2.0,True,False,True,False,Erdgeschosswohnung,Pinneberg
109,800.0,80.0,2.0,True,False,True,False,Etagenwohnung,Pinneberg
110,990.0,88.0,3.0,True,False,True,False,Wohnung,Pinneberg
111,305.0,30.0,1.0,True,False,False,False,Dachgeschosswohnung,Herzogtum Lauenburg
112,825.0,87.0,4.0,False,False,True,False,Maisonette,Pinneberg
113,1475.0,99.0,2.0,True,False,True,False,Etagenwohnung,Kiel
114,1000.0,126.0,4.5,True,False,True,False,Wohnung,Pinneberg
115,890.0,92.0,3.0,True,False,True,False,Etagenwohnung,Stormarn
116,797.0,69.0,2.0,True,False,True,False,Wohnung,Lübeck
117,450.0,51.0,2.0,True,False,False,False,Dachgeschosswohnung,Lübeck
118,940.0,92.0,2.0,True,False,True,False,Wohnung,Stormarn
119,331.92,60.0,2.0,True,False,True,False,Erdgeschosswohnung,Steinburg
120,799.0,61.0,2.0,True,False,True,False,Etagenwohnung,Herzogtum Lauenburg
121,350.0,30.0,1.0,False,False,False,False,Etagenwohnung,Herzogtum Lauenburg
122,525.0,70.0,2.5,True,False,False,False,Dachgeschosswohnung,Herzogtum Lauenburg
123,1250.0,95.0,3.0,True,False,False,False,Dachgeschosswohnung,Lübeck
124,690.0,69.0,2.0,True,True,False,False,Wohnung,Ostholstein
125,849.0,76.0,3.0,True,True,False,False,Maisonette,Ostholstein
126,413.98,59.0,2.0,False,False,True,False,Etagenwohnung,Segeberg
127,403.4,58.0,2.0,False,False,True,False,Etagenwohnung,Stormarn
128,380.0,47.0,1.5,True,False,True,False,Etagenwohnung,Kiel
129,480.0,56.0,2.0,True,False,True,False,Etagenwohnung,Herzogtum Lauenburg
130,660.0,55.0,2.0,False,False,True,False,Erdgeschosswohnung,Segeberg
131,293.22,42.0,2.0,True,False,False,False,Etagenwohnung,Kiel
132,609.0,80.0,3.0,True,False,True,False,Wohnung,Rendsburg-Eckernförde
133,410.0,71.0,4.0,False,True,False,False,Etagenwohnung,Steinburg
134,900.0,91.0,3.0,True,False,False,False,Wohnung,Kiel
135,1750.0,116.0,3.0,True,False,False,False,Dachgeschosswohnung,Pinneberg
