,id,title,bullets,tags,price,area,rooms
0,selObject_44914300,Wohnen und Arbeiten auf 120 m² - zentrale Lage -...,"['46,84', 'km', '•', 'Etagenwohnung', '•', 'Pfaffenhofen', 'Pfaffenhofen', 'a', 'd', 'Ilm']","['Balkon', 'EBK']",Miete zzgl. NK 1.080 €,Wohnfläche ca. 120 m²,Zi. 5
1,selObject_44650135,Exklusive Mietwohnung mit Bergblick ...,"['47,04', 'km', '•', 'Etagenwohnung', '•', 'Bad', 'Wiessee', 'Bad', 'Wiessee']",['Balkon'],Miete zzgl. NK 2.150 €,Wohnfläche ca. 107 m²,Zi. 3
2,selObject_44998385,NEU Sehr schöne 3 Zimmer Wohnung im Zentrum von Pfaffenhof...,"['47,05', 'km', '•', 'Etagenwohnung', '•', 'Pfaffenhofen', 'Pfaffenhofen', 'a', 'd', 'Ilm']","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 790 €,Wohnfläche ca. 79 m²,Zi. 3
3,selObject_44311445,Penzberg Apartment - 1 Zimmer - Einzelzimmer - Junior...,"['47,13', 'km', '•', 'Apartment', '•', 'Penzberg', 'Penzberg']",['EBK'],Miete inkl. NK 790 €,Wohnfläche ca. 30 m²,Zi. 1
4,selObject_44311447,Penzberg Apartment - 2 Zimmer - Suite Premium mit Balk...,"['47,13', 'km', '•', 'Apartment', '•', 'Penzberg', 'Penzberg']","['Balkon', 'EBK']",Miete inkl. NK 1.090 €,Wohnfläche ca. 40 m²,Zi. 2
5,selObject_44311449,Penzberg Apartment - Möbliert 2 Zimmer + Küche - Penz...,"['47,13', 'km', '•', 'Apartment', '•', 'Penzberg', 'Penzberg']",['EBK'],Miete inkl. NK 800 €,Wohnfläche ca. 29 m²,Zi. 2
6,selObject_45009162,NEU 2 Zimmerwohnung mit Balkon zu vermieten,"['47,21', 'km', '•', 'Wohnung', '•', 'Nandlstadt', 'Baumgarten']","['NEU', 'NEU', 'Balkon', 'Garten', 'EBK']",Miete zzgl. NK 475 €,Wohnfläche ca. 48 m²,Zi. 2
7,selObject_44224779,helle 5-Zimmer-Wohnung in Nandlstadt mit Fernblick,"['47,22', 'km', '•', 'Wohnung', '•', 'Nandlstadt', 'Kronwinkl']",['EBK'],Miete zzgl. NK 1.365 €,Wohnfläche ca. 114 m²,Zi. 5
8,selObject_45005784,"NEU ***** Helle, zentral gelegene 2 Zimmerwohnung mit Logg...","['47,29', 'km', '•', 'Etagenwohnung', '•', 'Pfaffenhofen', 'Pfaffenhofen', 'a', 'd', 'Ilm']","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 810 €,Wohnfläche ca. 62 m²,Zi. 2
9,selObject_44817008,Althegnenberg voll möbeliert MVV 25 Minuten z. HbH...,"['47,4', 'km', '•', 'Apartment', '•', 'Althegnenberg', 'Althegnenberg']",['EBK'],Miete zzgl. NK 680 €,Wohnfläche ca. 39 m²,Zi. 1
10,selObject_44928197,2 Zimmerwohnung in Pfaffenhofen Zentrum zu vermieten,"['47,44', 'km', '•', 'Dachgeschosswohnung', '•', 'Pfaffenhofen', 'Pfaffenhofen', 'a', 'd', 'Ilm']",['EBK'],Miete zzgl. NK 570 €,Wohnfläche ca. 58 m²,Zi. 2
