,id,title,bullets,tags,price,area,rooms,page,state
0,selObject_43709265,"Erstbezug nach Renovierung: Mitten in der City, sehr...","[['Wohnung', '•', 'Gießen', 'Gießen']]",['Balkon'],Miete zzgl. NK 1.800 €,Wohnfläche ca. 163 m²,Zi. 5,105,6
1,selObject_43707865,3-ZKBD Traum DG Wohnung mit EBK und Balkon in Fuldatal...,"[['Wohnung', '•', 'Fuldatal', 'Simmershausen']]","['Balkon', 'Garten', 'EBK']",Miete zzgl. NK 730 €,Wohnfläche ca. 100 m²,Zi. 3,105,6
2,selObject_43700587,RESERVIERT!!! Mitten im Burgwald im schönen Rosenthal:...,"[['Etagenwohnung', '•', 'Rosenthal', 'Rosenthal']]",['EBK'],Miete zzgl. NK 375 €,Wohnfläche ca. 70 m²,Zi. 3,105,6
3,selObject_43696201,"Bahnhofsviertel (8069162) - Moderne, unmöblierte 2-Zim...","[['Apartment', '•', 'Frankfurt', 'am', 'Main', 'Bahnhofsviertel']]","['Balkon', 'EBK']",Miete zzgl. NK 1.090 €,Wohnfläche ca. 51 m²,Zi. 2,105,6
4,selObject_43696170,Bahnhofsviertel (8069074) - Kernsaniertes 2-Zimmerapa...,"[['Apartment', '•', 'Frankfurt', 'am', 'Main', 'Bahnhofsviertel']]",['EBK'],Miete zzgl. NK 1.290 €,Wohnfläche ca. 61 m²,Zi. 2,105,6
5,selObject_43696081,Europaviertel (8068908) - Unmöblierte 4-Zimmerwohnung...,"[['Apartment', '•', 'Frankfurt', 'am', 'Main', 'Gallus']]",['EBK'],Miete zzgl. NK 2.500 €,Wohnfläche ca. 110 m²,Zi. 4,105,6
6,selObject_43695856,Sehr schöne und modern möblierte 2-Zimmer Wohnung mit...,"[['Wohnung', '•', 'Wiesbaden', 'Wiesbaden']]",['EBK'],Miete zzgl. NK 1.480 €,Wohnfläche ca. 57 m²,Zi. 2,105,6
7,selObject_43695649,2 hell und modern,"[['Apartment', '•', 'Kassel', 'Nord-Holland']]",['EBK'],Miete zzgl. NK 730 €,Wohnfläche ca. 52 m²,Zi. 2,105,6
8,selObject_43695645,1 Zimmer,"[['Apartment', '•', 'Kassel', 'Nord-Holland']]",['EBK'],Miete zzgl. NK 434 €,Wohnfläche ca. 31 m²,Zi. 1,105,6
9,selObject_43680536,Traumwohnung mit 2 Sonnenterrassen - 4-Zimmerwohnung...,"[['Erdgeschosswohnung', '•', 'Karben', 'Burg-Gräfenrode']]",[],Miete zzgl. NK 1.933 €,Wohnfläche ca. 150 m²,Zi. 4,105,6
10,selObject_43660908,Sehr schöne möblierte 2-Zimmer Wohnung mit Internet in...,"[['Wohnung', '•', 'Wiesbaden', 'Wiesbaden']]",['EBK'],Miete zzgl. NK 1.190 €,Wohnfläche ca. 52 m²,Zi. 2,105,6
