,id,title,bullets,tags,price,area,rooms,page,state
0,selObject_44913435,"kleine, feine Mietwohnung mitten im Zentrum mit Balkon","[['Dachgeschosswohnung', '•', 'Villingen-Schwenningen', 'Schwenningen']]","['Balkon', 'EBK']",Miete zzgl. NK 600 €,Wohnfläche ca. 55 m²,"Zi. 2,5",55,8
1,selObject_44911266,Gemütliche Terrassenwohnung in Hd-Ziegelhausen,"[['Wohnung', '•', 'Heidelberg', 'Bergheim']]","['Garten', 'EBK']",Miete zzgl. NK 500 €,Wohnfläche ca. 50 m²,Zi. 2,55,8
2,selObject_44910973,Keltern: Geräumiges Apartment nahe Pforzheim,"[['Wohnung', '•', 'Keltern', 'Dietlingen']]",[],Miete zzgl. NK 595 €,Wohnfläche ca. 41 m²,Zi. 1,55,8
3,selObject_44910970,"Mannheim-Oststadt: Schöne 1,5-Zimmer Wohnung Nähe Luis...","[['Wohnung', '•', 'Mannheim', 'Oststadt']]",[],Miete zzgl. NK 519 €,Wohnfläche ca. 43 m²,Zi. 1,55,8
4,selObject_44910969,Mannheim-Lindenhof: Großzügige Wohnung bis 4 Personen...,"[['Wohnung', '•', 'Mannheim', 'Lindenhof']]",[],Miete zzgl. NK 1.310 €,Wohnfläche ca. 133 m²,Zi. 3,55,8
5,selObject_44910966,Mannheim-Lindenhof: Großzügige Wohnung bis 4 Personen...,"[['Wohnung', '•', 'Mannheim', 'Lindenhof']]",[],Miete zzgl. NK 1.310 €,Wohnfläche ca. 133 m²,Zi. 3,55,8
6,selObject_44910961,Mannheim-Lindenhof: Großzügige Wohnung bis 4 Personen...,"[['Wohnung', '•', 'Mannheim', 'Lindenhof']]",[],Miete zzgl. NK 1.310 €,Wohnfläche ca. 133 m²,Zi. 3,55,8
7,selObject_44910541,Besser wohnen in...,"[['Etagenwohnung', '•', 'Stuttgart', 'Vaihingen']]","['Balkon', 'EBK']",Miete zzgl. NK 750 €,Wohnfläche ca. 60 m²,Zi. 2,55,8
8,selObject_44910092,"3,5-Zimmer-Wohnung mit Tageslicht-Wannenbad und Balkon","[['Wohnung', '•', 'Uhingen', 'Uhingen']]",['Balkon'],Miete zzgl. NK 900 €,Wohnfläche ca. 73 m²,"Zi. 3,5",55,8
9,selObject_44909367,Neubau: Modernes 4-Zimmer-Penthouse,"[['Penthouse', '•', 'Villingen-Schwenningen', 'Schwenningen']]",['EBK'],"Miete zzgl. NK 1.006,20 €",Wohnfläche ca. 112 m²,Zi. 4,55,8
10,selObject_44909285,"Viel Platz für die Familie - 4,5-Zimmerwohnung in ruhi...","[['Etagenwohnung', '•', 'Gingen']]",['Balkon'],Miete zzgl. NK 800 €,Wohnfläche ca. 101 m²,"Zi. 4,5",55,8
11,selObject_44909092,Seniorengerechte Mietwohnung im Edi-Wohnpark,"[['Etagenwohnung', '•', 'Edingen-Neckarhausen', 'Edingen']]","['Balkon', 'EBK']",Miete zzgl. NK 750 €,Wohnfläche ca. 65 m²,Zi. 2,55,8
12,selObject_44908587,Schöne DG-Maisonette-Wohnung im Herzen Acherns,"[['Dachgeschosswohnung', '•', 'Achern', 'Achern']]",[],Miete zzgl. NK 480 €,Wohnfläche ca. 73 m²,"Zi. 2,5",55,8
13,selObject_44908564,Knoll,"[['Apartment', '•', 'Nattheim', 'Nattheim']]","['Garten', 'EBK']",Miete zzgl. NK 610 €,Wohnfläche ca. 82 m²,Zi. 2,55,8
14,selObject_44908553,Exklusive 3 Zimmer Neubauwohnung mit Burgenblick,"[['Etagenwohnung', '•', 'Weinheim', 'Weinheim']]",['EBK'],Miete zzgl. NK 1.330 €,Wohnfläche ca. 85 m²,Zi. 3,55,8
15,selObject_44908540,*2 Zimmerwohnung mit Terrasse*,"[['Souterrainwohnung', '•', 'Lenzkirch', 'Lenzkirch']]","['Garten', 'EBK']",Miete zzgl. NK 375 €,Wohnfläche ca. 47 m²,,55,8
16,selObject_44908534,"5,5 Zimmer Mietwohnung, zentrale Lage, PKW Stellplatz,...","[['Etagenwohnung', '•', 'Laufenburg', 'Laufenburg']]",['EBK'],Miete zzgl. NK 1.100 €,Wohnfläche ca. 152 m²,"Zi. 5,5",55,8
