,id,title,bullets,tags,price,area,rooms,page,state
0,selObject_45028507,NEU Schöne DG Wohnung,"['Wohnung', '•', 'Flensburg', 'Nordstadt']","['NEU', 'NEU']",Miete zzgl. NK 319 €,Wohnfläche ca. 40 m²,"Zi. 2,5",1,1
1,selObject_45028508,NEU Modernisierte Wohnung ab 01.09.21,"['Wohnung', '•', 'Flensburg', 'Nordstadt']","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 456 €,Wohnfläche ca. 61 m²,Zi. 3,1,1
2,selObject_45028506,NEU 3 Zimmer-Wohnung mit Balkon,"['Wohnung', '•', 'Flensburg', 'Jürgensby']","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 488 €,Wohnfläche ca. 81 m²,Zi. 3,1,1
3,selObject_45028505,NEU Ruhige komplett modernisierte Wohnung mit Balkon,"['Wohnung', '•', 'Flensburg', 'Nordstadt']","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 394 €,Wohnfläche ca. 52 m²,"Zi. 2,5",1,1
4,selObject_45028503,NEU Wohnung in Flensburg,"['Wohnung', '•', 'Flensburg', 'Südstadt']","['NEU', 'NEU', 'Balkon']",Miete zzgl. NK 416 €,Wohnfläche ca. 67 m²,Zi. 3,1,1
5,selObject_45028504,NEU Helle modernisierte 2-Zimmer-Wohnung,"['Wohnung', '•', 'Flensburg', 'Nordstadt']","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 473 €,Wohnfläche ca. 63 m²,Zi. 2,1,1
6,selObject_45028349,NEU Neubau moderne Maisonette Wohnung ca.119qm mit großer...,"['Maisonette', '•', 'Aumühle']","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 1.460 €,Wohnfläche ca. 119 m²,Zi. 4,1,1
7,selObject_45028268,NEU Helle 4-Zimmer-Wohnung im Grünen mit Loggia und Wannen...,"['Wohnung', '•', 'Schönkirchen', 'Landgraben']","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 1.000 €,Wohnfläche ca. 91 m²,Zi. 4,1,1
8,selObject_45028209,NEU Wohnung mit Balkon!,"['Etagenwohnung', '•', 'Lübeck', 'St.', 'Lorenz', 'Nord']","['NEU', 'NEU', 'Balkon']","Miete zzgl. NK 467,21 €",Wohnfläche ca. 65 m²,Zi. 2,1,1
9,selObject_45028140,NEU 2-Zimmer-Wohnung in Flensburg bezugsfertig ab 01.09.20...,"['Wohnung', '•', 'Flensburg', 'Südstadt']","['NEU', 'NEU', 'Garten']",Miete zzgl. NK 295 €,Wohnfläche ca. 45 m²,Zi. 2,1,1
10,selObject_45028113,NEU 2 Zi.- DG-Wohnung in Henstedt-Ulzburg,"['Dachgeschosswohnung', '•', 'Henstedt-Ulzburg']","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 649 €,Wohnfläche ca. 72 m²,Zi. 2,1,1
11,selObject_45027852,NEU TFI: 4 Zimmer Wohnung im Zentrum von Flensburg!,"['Etagenwohnung', '•', 'Flensburg', 'Jürgensby']","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 790 €,Wohnfläche ca. 120 m²,Zi. 4,1,1
12,selObject_45027850,NEU TFI: 4 Zimmer Dachgeschoss Wohnung im Zentrum von Flen...,"['Dachgeschosswohnung', '•', 'Flensburg', 'Jürgensby']","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 740 €,Wohnfläche ca. 120 m²,Zi. 4,1,1
13,selObject_45027689,NEU Erstbezug mit Einbauküche und 2 Terrassen: exklusive...,"['Erdgeschosswohnung', '•', 'Geesthacht']","['NEU', 'NEU', 'Garten', 'EBK']",Miete zzgl. NK 1.131 €,Wohnfläche ca. 94 m²,Zi. 3,1,1
14,selObject_45027265,NEU Helle 4-Zimmerwohnung am Feldrand,"['Etagenwohnung', '•', 'Eckernförde']","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 700 €,Wohnfläche ca. 83 m²,Zi. 4,1,1
