,id,title,bullets,tags,price,area,rooms,page,state
0,selObject_44886082,"2 ZKB in Egglfing, voll möbl. Südbalkon","[['Erdgeschosswohnung', '•', 'Bad', 'Füssing', 'Egglfing']]","['Balkon', 'EBK']",Miete zzgl. NK 450 €,Wohnfläche ca. 55 m²,Zi. 2,111,9
1,selObject_44885889,2-Raum-Wohnung mit Einbauküche sucht neuen Mieter in...,"[['Kein', 'Bild'], ['Wohnung', '•', 'Bamberg', 'Bamberg']]","['Balkon', 'EBK']",Miete zzgl. NK 540 €,Wohnfläche ca. 60 m²,Zi. 2,111,9
2,selObject_44885835,"Elegantes, hochwertiges Apartment-Studio","[['Apartment', '•', 'Amberg', 'Amberg']]","['Balkon', 'Garten', 'EBK']",Miete zzgl. NK 370 €,Wohnfläche ca. 29 m²,Zi. 1,111,9
3,selObject_44885530,"1-Zimmerapartment mit EBK, Loggia und Aufzug","[['Etagenwohnung', '•', 'Fürth', 'Südstadt']]",['EBK'],Miete zzgl. NK 320 €,Wohnfläche ca. 35 m²,Zi. 1,111,9
4,selObject_44885315,"+++Hochwertige 3-Zi.-Whg. mit Dachterrasse, 2 TG-Plätz...","[['Etagenwohnung', '•', 'Waldkraiburg', 'Waldkraiburg']]",['EBK'],Miete zzgl. NK 930 €,Wohnfläche ca. 95 m²,Zi. 3,111,9
5,selObject_44885306,"Modernes Wohnen in historischem Ambiente, Helle große...","[['Wohnung', '•', 'Nürnberg', 'Buch']]",[],Miete zzgl. NK 576 €,Wohnfläche ca. 72 m²,Zi. 2,111,9
6,selObject_44885121,Ideal für Singles!,"[['Erdgeschosswohnung', '•', 'Neuburg', 'Neuburg']]",[],Miete zzgl. NK 500 €,Wohnfläche ca. 41 m²,Zi. 1,111,9
7,selObject_44885094,Traumhafte 4-Zimmer-Wohnung mit Balkon im Herzen von...,"[['Wohnung', '•', 'Schrobenhausen', 'Schrobenhausen']]",['Balkon'],Miete zzgl. NK 884 €,Wohnfläche ca. 104 m²,Zi. 4,111,9
8,selObject_44885023,Bamberg / Altstadt auf der Insel: Zwischen Eurokanal...,"[['Etagenwohnung', '•', 'Bamberg', 'Gaustadt']]","['Balkon', 'EBK']",Miete zzgl. NK 888 €,Wohnfläche ca. 94 m²,Zi. 3,111,9
9,selObject_44885019,Bamberg / Altstadt auf der Insel: Zwischen Eurokanal...,"[['Etagenwohnung', '•', 'Bamberg', 'Gaustadt']]","['Balkon', 'EBK']",Miete zzgl. NK 888 €,Wohnfläche ca. 94 m²,Zi. 3,111,9
10,selObject_44885003,"Einmalig! 3,5-Zi. -Whg. mit EBK. großes Bad u Balkon...","[['Wohnung', '•', 'Fürstenfeldbruck', 'Fürstenfeldbruck']]","['Balkon', 'EBK']",Miete zzgl. NK 1.450 €,Wohnfläche ca. 95 m²,"Zi. 3,5",111,9
11,selObject_44885000,2-Zi.-Wohnung mit Terrasse und Garten in Schweinfurt!,"[['Kein', 'Bild'], ['Wohnung', '•', 'Schweinfurt', 'Innenstadt']]","['Balkon', 'Garten', 'EBK']",Miete zzgl. NK 555 €,Wohnfläche ca. 52 m²,Zi. 2,111,9
12,selObject_44884968,Unser neues Zuhause in Vaterstetten! Neubau: moderne...,"[['Etagenwohnung', '•', 'Vaterstetten']]",[],Miete zzgl. NK 1.670 €,Wohnfläche ca. 106 m²,Zi. 4,111,9
13,selObject_44884966,"* SUPER 1,5 Zi. - Wohnung * für 1 Personenhaushalt - ...","[['Wohnung', '•', 'Nürnberg', 'Glockenhof']]",['EBK'],Miete zzgl. NK 520 €,Wohnfläche ca. 46 m²,"Zi. 1,5",111,9
14,selObject_44884945,Sonnenterrasse gefällig? Neubau: moderne 3-Zimmer-Dach...,"[['Dachgeschosswohnung', '•', 'Vaterstetten']]",[],Miete zzgl. NK 1.490 €,Wohnfläche ca. 88 m²,Zi. 3,111,9
15,selObject_44884944,Chillen auf der eigenen Dachterrasse! Neubau: helle...,"[['Dachgeschosswohnung', '•', 'Vaterstetten']]",[],Miete zzgl. NK 1.150 €,Wohnfläche ca. 66 m²,Zi. 2,111,9
16,selObject_44884926,Wohlfühl-Wohnung in Vaterstetten ! Neubau: moderne...,"[['Etagenwohnung', '•', 'Vaterstetten']]",[],Miete zzgl. NK 1.320 €,Wohnfläche ca. 80 m²,Zi. 3,111,9
17,selObject_44884924,Gartenwohnung mit praktischem Grundriss! Neubau: Sonni...,"[['Erdgeschosswohnung', '•', 'Vaterstetten']]",[],Miete zzgl. NK 980 €,Wohnfläche ca. 59 m²,Zi. 2,111,9
18,selObject_44884749,Nürnberg GoHo: Erstbezug einer exklusiven DG-Wohnung /...,"[['Dachgeschosswohnung', '•', 'Nürnberg', 'Gostenhof']]",['EBK'],Miete zzgl. NK 1.540 €,Wohnfläche ca. 121 m²,Zi. 3,111,9
19,selObject_44884681,GOTTSMANN Immobilien - 2 ZW in Fürth - Südstadt,"[['Erdgeschosswohnung', '•', 'Fürth', 'Südstadt']]",[],Miete zzgl. NK 480 €,Wohnfläche ca. 60 m²,"Zi. 2,5",111,9
20,selObject_44884511,"GOTTSMANN-Immobilienn - kleinere 2 Zimmerwohnung Nbg.,...","[['Wohnung', '•', 'Nürnberg', 'Glockenhof']]",[],Miete zzgl. NK 440 €,Wohnfläche ca. 42 m²,Zi. 2,111,9
21,selObject_44884486,"GOTTSMANN-Immobilienn - 2 Zimmerwohnung in Nbg., Gloc...","[['Wohnung', '•', 'Nürnberg', 'Glockenhof']]",[],Miete zzgl. NK 520 €,Wohnfläche ca. 47 m²,Zi. 2,111,9
22,selObject_44884040,Erstbezug nach Sanierung: Exklusive Villen-Maisonette...,"[['Erdgeschosswohnung', '•', 'München', 'Pasing-Obermenzing']]","['Balkon', 'Garten', 'EBK']",Miete zzgl. NK 7.450 €,Wohnfläche ca. 266 m²,Zi. 5,111,9
23,selObject_44883939,2Raum + EBK + frisch saniertes Bad + Traumblick,"[['Erdgeschosswohnung', '•', 'Riedenburg', 'Riedenburg']]",['EBK'],Miete zzgl. NK 595 €,Wohnfläche ca. 73 m²,Zi. 2,111,9
24,selObject_44883847,3 Zimmer EG-Wohnung Südbalkon mit Einbauküche in Vilse...,"[['Erdgeschosswohnung', '•', 'Vilseck', 'Vilseck']]",['EBK'],Miete zzgl. NK 660 €,Wohnfläche ca. 87 m²,Zi. 3,111,9
25,selObject_44883821,1 Zimmerwohnung in der Stadt nahe LMU,"[['Etagenwohnung', '•', 'München', 'Maxvorstadt']]",[],Miete zzgl. NK 900 €,Wohnfläche ca. 22 m²,Zi. 1,111,9
26,selObject_44883484,"BLÜMM IMMOBILIEN: Cadolzburg: Großes, helles 1-Zimmer-...","[['Souterrainwohnung', '•', 'Cadolzburg', 'Wachendorf']]",['EBK'],Miete zzgl. NK 500 €,Wohnfläche ca. 56 m²,Zi. 1,111,9
