,id,title,bullets,tags,price,area,rooms,page,state
0,selObject_45000254,NEU Traumhafte 3-Zimmer-Wohnung in der City!,"[['Wohnung', '•', 'Göttingen', 'Göttingen']]","['NEU', 'NEU', 'Balkon']",Miete zzgl. NK 825 €,Wohnfläche ca. 75 m²,Zi. 3,23,3
1,selObject_45000248,NEU Ihr neues Zuhause - 3 Zimmer im 1. Obergeschoss mit...,"[['Wohnung', '•', 'Seevetal', 'Emmelndorf']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 770 €,Wohnfläche ca. 80 m²,Zi. 3,23,3
2,selObject_45000213,NEU Ruhig gelegene 2-Zimmer-Wohnung in Steinfeld,"[['Erdgeschosswohnung', '•', 'Steinfeld', 'Steinfeld']]","['NEU', 'NEU', 'Garten']",Miete zzgl. NK 470 €,Wohnfläche ca. 58 m²,Zi. 2,23,3
3,selObject_45000160,NEU Schick und modern: 3-Zimmer-Wohnung mit Galerie in...,"[['Wohnung', '•', 'Bovenden', 'Bovenden']]","['NEU', 'NEU', 'Balkon', 'Garten']",Miete zzgl. NK 1.000 €,Wohnfläche ca. 110 m²,Zi. 3,23,3
4,selObject_45000020,NEU Helle 2. Zim.-Whg in der Kastanienallee,"[['Wohnung', '•', 'Braunschweig', 'Braunschweig']]","['NEU', 'NEU']",Miete zzgl. NK 470 €,Wohnfläche ca. 60 m²,Zi. 2,23,3
5,selObject_44999729,NEU Hier können Sie sofort einziehen!,"[['Etagenwohnung', '•', 'Braunschweig', 'Braunschweig']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 275 €,Wohnfläche ca. 26 m²,Zi. 1,23,3
6,selObject_44999613,NEU 2-Raum-Wohnung in Lüneburg zu vermieten!,"[['Wohnung', '•', 'Lüneburg', 'Mittelfeld']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 600 €,Wohnfläche ca. 72 m²,Zi. 2,23,3
7,selObject_44999451,"NEU Hellwinkel Terrassen! Mitten in der Stadt leben, direk...","[['Etagenwohnung', '•', 'Wolfsburg', 'Hellwinkel']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 540 €,Wohnfläche ca. 36 m²,Zi. 1,23,3
8,selObject_44999362,NEU Jesteburg - zentrales Wohnen in einem gemütlichen...,"[['Erdgeschosswohnung', '•', 'Jesteburg', 'Jesteburg']]","['NEU', 'NEU', 'EBK']","Miete zzgl. NK 707,70 €",Wohnfläche ca. 71 m²,Zi. 2,23,3
9,selObject_44999267,NEU Helle Oberwohnung im Herzen von Heede,"[['Etagenwohnung', '•', 'Heede', 'Heede']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 600 €,Wohnfläche ca. 100 m²,Zi. 3,23,3
10,selObject_44999178,"NEU Galgenberg, großzügige 2-Zimmer-Wohnung mit Balkon,...","[['Wohnung', '•', 'Hildesheim', 'Marienburger', 'Höhe']]","['NEU', 'NEU']",Miete zzgl. NK 500 €,Wohnfläche ca. 72 m²,Zi. 2,23,3
11,selObject_44999069,NEU Sonnige 4-Zimmer-Wohnung am Rande von Stadtoldendorf,"[['Etagenwohnung', '•', 'Stadtoldendorf']]","['NEU', 'NEU', 'Balkon']",Miete zzgl. NK 360 €,Wohnfläche ca. 74 m²,Zi. 4,23,3
12,selObject_44998984,NEU Gepflegte 2-Zimmer-Wohnung mit Balkon und EBK!,"[['Etagenwohnung', '•', 'Hambühren', 'Hambühren', 'II']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 390 €,Wohnfläche ca. 63 m²,Zi. 2,23,3
13,selObject_44998751,NEU 3-Raum-Wohnung mit Keller in Bliedersdorf zu vermieten,"[['Wohnung', '•', 'Bliedersdorf']]","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 650 €,Wohnfläche ca. 90 m²,Zi. 3,23,3
14,selObject_44998726,NEU Diese Wohnung wird Ihnen gefallen! Balkon in der 1....,"[['Kein', 'Bild'], ['Wohnung', '•', 'Buxtehude', 'Buxtehude']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 600 €,Wohnfläche ca. 75 m²,Zi. 3,23,3
15,selObject_44998666,"NEU Große Etagenwohnung mit 3,5-Zimmer im sanierten Zustan...","[['Etagenwohnung', '•', 'Wolfsburg', 'Vorsfelde']]","['NEU', 'NEU', 'Balkon']",Miete zzgl. NK 675 €,Wohnfläche ca. 77 m²,"Zi. 3,5",23,3
16,selObject_44998465,NEU Stadtnahe gepflegte Wohnung für Singles und Pärchen,"[['Etagenwohnung', '•', 'Uslar', 'Uslar']]","['NEU', 'NEU']",Miete zzgl. NK 280 €,Wohnfläche ca. 70 m²,Zi. 2,23,3
17,selObject_44998461,NEU Erstbezug nach Sanierung: Dachgeschosswohnung mit ausg...,"[['Dachgeschosswohnung', '•', 'Hude', 'Hude']]","['NEU', 'NEU', 'Balkon']",Miete zzgl. NK 530 €,Wohnfläche ca. 65 m²,Zi. 3,23,3
18,selObject_44998453,NEU CENTURY21: Gemütliche Souterrain Wohnung im Dobbenvie...,"[['Erdgeschosswohnung', '•', 'Oldenburg', 'Innenstadt']]","['NEU', 'NEU']",Miete zzgl. NK 520 €,Wohnfläche ca. 56 m²,Zi. 2,23,3
19,selObject_44998397,NEU 1 Zi-Appartement in OL/Kreyenbrück - unmittelbare Klin...,"[['Erdgeschosswohnung', '•', 'Oldenburg', 'Kreyenbrück']]","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 420 €,Wohnfläche ca. 34 m²,Zi. 1,23,3
20,selObject_44998395,NEU 2-Raum-Wohnung in der Wiesenstraße in Uslar inkl. Einb...,"[['Wohnung', '•', 'Uslar', 'Uslar']]","['NEU', 'NEU', 'Balkon', 'Garten', 'EBK']",Miete zzgl. NK 350 €,Wohnfläche ca. 55 m²,Zi. 2,23,3
21,selObject_44998386,NEU Charmante sonnige 3 Zi- EG -Altbau- Whg. -in bester...,"[['Erdgeschosswohnung', '•', 'Hameln', 'Innenstadt']]","['NEU', 'NEU', 'Balkon', 'Garten']",Miete zzgl. NK 735 €,Wohnfläche ca. 84 m²,Zi. 3,23,3
22,selObject_44998373,NEU In Sanierung - 3-Zimmer-Etagenwohnung mit Balkon!,"[['Etagenwohnung', '•', 'Wolfsburg', 'Vorsfelde']]","['NEU', 'NEU', 'Balkon']",Miete zzgl. NK 555 €,Wohnfläche ca. 71 m²,Zi. 3,23,3
23,selObject_44998333,NEU Singlewohnung mit großzügigem Bad!,"[['Dachgeschosswohnung', '•', 'Goldenstedt', 'Ellenstedt']]","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 490 €,Wohnfläche ca. 54 m²,Zi. 2,23,3
24,selObject_44998316,NEU hochwertige Erdgeschosswohnung mit Gartenterrasse und...,"[['Erdgeschosswohnung', '•', 'Goldenstedt', 'Ellenstedt']]","['NEU', 'NEU', 'Garten', 'EBK']",Miete zzgl. NK 380 €,Wohnfläche ca. 42 m²,Zi. 2,23,3
25,selObject_44998299,NEU Schöne Obergeschosswohnung mit Balkon in gepflegtem...,"[['Etagenwohnung', '•', 'Norden', 'Norden']]","['NEU', 'NEU']",Miete zzgl. NK 450 €,Wohnfläche ca. 80 m²,"Zi. 2,5",23,3
26,selObject_44998256,NEU Modernisierte 3 Zimmer Wohnung in Wienhausen-Bockelska...,"[['Etagenwohnung', '•', 'Wienhausen', 'Bockelskamp']]","['NEU', 'NEU', 'Balkon', 'Garten', 'EBK']",Miete zzgl. NK 650 €,Wohnfläche ca. 82 m²,Zi. 3,23,3
