,id,title,bullets,tags,price,area,rooms,page,state
0,selObject_15075937,Schöne Maisonettewohnung in der Altstadt,"[['Etagenwohnung', '•', 'Norden', 'Norden']]",['EBK'],Miete zzgl. NK 595 €,Wohnfläche ca. 96 m²,Zi. 3,123,3
1,selObject_10882897,"Zentrale Lage, ca. 10 Gehminuten bis ins Zentrum und...","[['Etagenwohnung', '•', 'Wilhelmshaven', 'Bant']]",[],Miete zzgl. NK 414 €,Wohnfläche ca. 72 m²,Zi. 3,123,3
2,selObject_9151879,** 3 Zimmer Wohnung in Neuhaus an der Elbe **,"[['Erdgeschosswohnung', '•', 'Neuhaus']]",['EBK'],Miete zzgl. NK 480 €,Wohnfläche ca. 79 m²,Zi. 3,123,3
