,id,title,bullets,tags,price,area,rooms,page,state
0,selObject_45045735,NEU 3 Zi. Wohnung Bahnhofsvorstadt,"[['Wohnung', '•', 'Bremen', 'Bahnhofsvorstadt']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 850 €,Wohnfläche ca. 90 m²,Zi. 3,1,4
1,selObject_45043236,NEU Im Herzen von Geestemünde,"[['Etagenwohnung', '•', 'Bremerhaven', 'Geestemünde']]","['NEU', 'NEU']",Miete zzgl. NK 265 €,Wohnfläche ca. 43 m²,Zi. 2,1,4
2,selObject_45043078,NEU Große 2 Zimmerwohnung in Geestemünde,"[['Etagenwohnung', '•', 'Bremerhaven', 'Geestemünde']]","['NEU', 'NEU', 'Balkon']",Miete zzgl. NK 490 €,Wohnfläche ca. 72 m²,Zi. 2,1,4
3,selObject_45043048,NEU Kleines schickes Apartment in guter Lage,"[['Apartment', '•', 'Bremen', 'Hulsberg']]","['NEU', 'NEU']",Miete zzgl. NK 249 €,Wohnfläche ca. 16 m²,Zi. 1,1,4
4,selObject_45042905,NEU Renovierte 4-Zimmer-Maisonette-Wohnung nahe der Sielwa...,"[['Etagenwohnung', '•', 'Bremen', 'Ostertor']]","['NEU', 'NEU']",Miete zzgl. NK 1.155 €,Wohnfläche ca. 110 m²,Zi. 4,1,4
5,selObject_45042341,"NEU Hemelingen, Braunsweg, 2,5 Zi.-Whg., Dachterrasse,...","[['Wohnung', '•', 'Bremen', 'Hemelingen']]","['NEU', 'NEU', 'EBK']",Miete zzgl. NK 480 €,Wohnfläche ca. 70 m²,"Zi. 2,5",1,4
6,selObject_45042307,NEU Großzügige 2 Z. Wohnung mit Süd-Balkon!,"[['Etagenwohnung', '•', 'Bremen', 'Neu', 'Schwachhausen']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 590 €,Wohnfläche ca. 59 m²,Zi. 2,1,4
7,selObject_45041649,NEU Sanierte 2 Zimmer Dachgeschosswohnung mit Balkon!,"[['Wohnung', '•', 'Bremen', 'Weidedamm']]","['NEU', 'NEU', 'Balkon']",Miete zzgl. NK 550 €,Wohnfläche ca. 47 m²,Zi. 2,1,4
8,selObject_45041172,NEU Möblierte Wohnung mit ganz viel Tageslicht und PKW-Ste...,"[['Etagenwohnung', '•', 'Bremen', 'Mahndorf']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete inkl. NK 749 €,Wohnfläche ca. 58 m²,Zi. 2,1,4
9,selObject_45040349,NEU Whg. mit Balkon im 1. OG,"[['Wohnung', '•', 'Bremen', 'Südervorstadt']]","['NEU', 'NEU', 'Balkon', 'EBK']",Miete zzgl. NK 1.160 €,Wohnfläche ca. 116 m²,Zi. 4,1,4
10,selObject_45039760,NEU Stadtwerder: Hochwertige Drei-Zimmer Wohnung mit Terra...,"[['Erdgeschosswohnung', '•', 'Bremen', 'Altstadt']]","['NEU', 'NEU', 'Garten', 'EBK']",Miete zzgl. NK 1.370 €,Wohnfläche ca. 109 m²,Zi. 3,1,4
